artistID,true_label,predicted_label,correct
8853,rock,folk,False
3893,electronic,rock,False
6443,electronic,electronic,True
1279,pop,pop,True
5823,reggae,reggae,True
827,pop,electronic,False
8287,rock,rock,True
7003,metal,metal,True
7325,rock,rock,True
3493,metal,metal,True
608,metal,metal,True
4565,rock,folk,False
3852,electronic,electronic,True
838,electronic,electronic,True
7791,electronic,electronic,True
2111,rock,metal,False
4608,metal,metal,True
4677,rock,rock,True
7678,country,pop,False
1670,pop,jazz,False
271,pop,pop,True
8721,electronic,electronic,True
1550,hip-hop,hip-hop,True
5399,electronic,metal,False
1388,electronic,electronic,True
7349,rock,rock,True
7951,electronic,electronic,True
2595,pop,pop,True
5971,rock,folk,False
8509,electronic,rock,False
2356,reggae,reggae,True
833,electronic,electronic,True
2318,rock,rock,True
6819,rock,rock,True
3136,electronic,pop,False
5160,hip-hop,hip-hop,True
4305,rock,rock,True
8966,rock,jazz,False
4382,electronic,electronic,True
8507,rock,rock,True
4327,pop,pop,True
7566,country,folk,False
2772,rock,jazz,False
5800,reggae,reggae,True
8501,electronic,electronic,True
8566,hip-hop,hip-hop,True
4617,jazz,jazz,True
549,rock,rock,True
2251,country,country,True
586,rock,electronic,False
8359,pop,rock,False
2999,rock,rock,True
8457,pop,pop,True
3366,electronic,electronic,True
7179,pop,pop,True
2582,rock,rock,True
4774,electronic,electronic,True
7958,rock,rock,True
1451,electronic,electronic,True
3247,metal,metal,True
7323,electronic,electronic,True
6144,electronic,electronic,True
296,country,country,True
8730,rock,jazz,False
6677,rock,folk,False
7437,electronic,electronic,True
1386,rock,rock,True
5221,metal,metal,True
3306,hip-hop,hip-hop,True
3148,metal,metal,True
8925,rock,rock,True
6131,jazz,jazz,True
571,rock,metal,False
1509,rock,rock,True
895,rock,rock,True
5350,pop,pop,True
1498,pop,pop,True
7219,rock,pop,False
2763,country,country,True
5136,rock,rock,True
3539,hip-hop,hip-hop,True
8528,pop,rock,False
5773,pop,pop,True
782,rock,rock,True
768,metal,metal,True
8873,jazz,jazz,True
3996,rock,rock,True
5405,metal,metal,True
3380,rock,rock,True
2758,rock,rock,True
359,rock,rock,True
7575,metal,metal,True
3094,pop,pop,True
1696,electronic,electronic,True
8908,rock,pop,False
3758,pop,pop,True
354,rock,rock,True
358,rock,electronic,False
5580,pop,pop,True
857,rock,rock,True
3088,rock,rock,True
8615,hip-hop,hip-hop,True
5577,pop,electronic,False
8695,rock,rock,True
2019,pop,pop,True
8548,rock,rock,True
624,pop,pop,True
3613,metal,metal,True
4959,rock,rock,True
1455,jazz,jazz,True
7034,pop,pop,True
8834,hip-hop,hip-hop,True
792,rock,rock,True
7331,electronic,electronic,True
962,pop,pop,True
5223,metal,metal,True
6218,hip-hop,hip-hop,True
6479,electronic,metal,False
2817,reggae,reggae,True
2410,rock,metal,False
5542,rock,rock,True
2764,pop,electronic,False
800,pop,rock,False
8980,metal,metal,True
5601,rock,electronic,False
5625,metal,metal,True
1702,electronic,electronic,True
7899,electronic,electronic,True
8215,electronic,electronic,True
1462,hip-hop,hip-hop,True
5994,rock,rock,True
3316,metal,metal,True
1942,pop,pop,True
1599,electronic,electronic,True
6299,electronic,electronic,True
7346,rock,rock,True
516,pop,reggae,False
7182,rock,rock,True
1076,electronic,electronic,True
3175,hip-hop,hip-hop,True
8205,hip-hop,hip-hop,True
4236,pop,reggae,False
1136,rock,rock,True
5525,rock,electronic,False
5217,rock,rock,True
2239,pop,pop,True
1869,country,country,True
7681,jazz,jazz,True
826,electronic,electronic,True
528,pop,pop,True
1737,metal,metal,True
4683,rock,rock,True
3041,metal,metal,True
24,metal,metal,True
395,rock,rock,True
7237,jazz,jazz,True
8412,rock,rock,True
2045,electronic,electronic,True
8191,metal,rock,False
2350,reggae,reggae,True
8887,hip-hop,hip-hop,True
7275,electronic,electronic,True
2631,electronic,electronic,True
67,pop,pop,True
1339,rock,rock,True
1925,rock,pop,False
1146,hip-hop,hip-hop,True
1752,hip-hop,rock,False
375,pop,pop,True
3290,hip-hop,hip-hop,True
7862,rock,rock,True
4912,rock,rock,True
4248,hip-hop,hip-hop,True
7626,pop,pop,True
7930,rock,rock,True
4759,electronic,rock,False
2563,rock,rock,True
3162,metal,metal,True
7772,electronic,electronic,True
1997,rock,rock,True
8512,electronic,electronic,True
6570,pop,pop,True
553,rock,rock,True
4064,metal,rock,False
8540,hip-hop,hip-hop,True
7432,metal,metal,True
8892,electronic,electronic,True
5876,pop,pop,True
1762,pop,pop,True
6117,hip-hop,rock,False
1870,country,country,True
1847,rock,rock,True
661,metal,metal,True
3903,metal,metal,True
6365,electronic,electronic,True
5263,jazz,jazz,True
8637,rock,rock,True
4376,rock,rock,True
8888,electronic,electronic,True
6298,electronic,rock,False
1128,rock,rock,True
104,electronic,electronic,True
8161,electronic,electronic,True
1516,pop,pop,True
5224,metal,metal,True
6726,jazz,jazz,True
6462,rock,rock,True
1922,electronic,electronic,True
6639,rock,electronic,False
5419,pop,folk,False
5317,metal,rock,False
2050,electronic,electronic,True
8079,pop,electronic,False
8862,electronic,electronic,True
5860,hip-hop,hip-hop,True
1189,hip-hop,pop,False
1479,metal,metal,True
1182,electronic,electronic,True
4862,pop,folk,False
8100,pop,pop,True
7371,electronic,electronic,True
4751,electronic,folk,False
535,pop,pop,True
2881,pop,pop,True
8085,pop,pop,True
4873,rock,rock,True
7348,rock,rock,True
2949,electronic,electronic,True
8050,pop,rock,False
3979,rock,rock,True
1934,pop,pop,True
3530,rock,metal,False
5351,pop,pop,True
5476,jazz,classical,False
5130,country,country,True
135,jazz,jazz,True
1258,electronic,metal,False
3863,hip-hop,hip-hop,True
2158,rock,rock,True
7383,rock,rock,True
1585,metal,metal,True
7040,pop,pop,True
4591,electronic,electronic,True
2497,rock,rock,True
38,metal,metal,True
7612,metal,metal,True
5416,rock,rock,True
8002,rock,metal,False
7658,rock,rock,True
249,pop,pop,True
6404,pop,pop,True
2722,rock,rock,True
2612,electronic,electronic,True
6148,rock,rock,True
2731,metal,metal,True
995,metal,metal,True
6993,jazz,jazz,True
2783,metal,metal,True
1864,country,country,True
1084,electronic,electronic,True
1137,hip-hop,hip-hop,True
3718,electronic,electronic,True
98,electronic,electronic,True
9032,hip-hop,hip-hop,True
1607,pop,pop,True
7705,country,country,True
6527,electronic,electronic,True
1410,jazz,jazz,True
3594,metal,metal,True
6554,rock,rock,True
1335,rock,rock,True
2463,reggae,reggae,True
2617,electronic,electronic,True
7691,metal,metal,True
6750,rock,folk,False
283,pop,pop,True
7133,rock,rock,True
1116,metal,metal,True
2889,pop,pop,True
610,rock,rock,True
5070,rock,rock,True
1937,pop,pop,True
4777,jazz,jazz,True
8898,electronic,electronic,True
5618,metal,metal,True
1990,rock,rock,True
8460,pop,rock,False
8170,hip-hop,hip-hop,True
2586,pop,pop,True
8743,pop,folk,False
1438,rock,rock,True
4250,hip-hop,hip-hop,True
492,hip-hop,hip-hop,True
5205,rock,rock,True
163,rock,folk,False
2517,rock,rock,True
4053,pop,pop,True
5815,reggae,reggae,True
980,rock,rock,True
6795,reggae,reggae,True
7504,metal,metal,True
8933,rock,rock,True
3860,metal,metal,True
8317,rock,rock,True
7508,metal,metal,True
2727,metal,metal,True
8737,hip-hop,hip-hop,True
1154,electronic,electronic,True
7609,rock,rock,True
5447,pop,pop,True
7428,rock,rock,True
439,pop,pop,True
1755,rock,rock,True
1213,rock,rock,True
1167,rock,rock,True
1235,metal,metal,True
5425,rock,rock,True
6920,jazz,jazz,True
3700,rock,rock,True
2824,jazz,jazz,True
2789,pop,pop,True
6693,rock,rock,True
614,metal,metal,True
3709,electronic,electronic,True
8765,rock,rock,True
2746,reggae,reggae,True
1754,rock,rock,True
8506,electronic,electronic,True
3853,pop,pop,True
3167,metal,metal,True
4939,electronic,electronic,True
3257,rock,rock,True
5729,metal,metal,True
6402,pop,classical,False
7795,electronic,electronic,True
7403,pop,pop,True
8093,hip-hop,folk,False
7802,electronic,electronic,True
7178,electronic,electronic,True
2146,country,rock,False
678,metal,metal,True
7329,pop,pop,True
4952,electronic,electronic,True
6514,metal,metal,True
8618,hip-hop,hip-hop,True
4825,rock,rock,True
1316,hip-hop,hip-hop,True
1694,rock,rock,True
7957,rock,electronic,False
2819,rock,rock,True
889,rock,rock,True
5633,metal,metal,True
6829,electronic,electronic,True
4522,electronic,electronic,True
5919,metal,metal,True
6201,electronic,electronic,True
6891,pop,folk,False
3804,electronic,jazz,False
6388,metal,metal,True
3653,electronic,electronic,True
1115,metal,metal,True
6511,jazz,folk,False
2456,rock,rock,True
8894,pop,electronic,False
5972,metal,metal,True
7842,rock,electronic,False
7435,electronic,electronic,True
3822,rock,rock,True
7599,electronic,electronic,True
6707,rock,rock,True
8936,jazz,jazz,True
3008,electronic,electronic,True
2521,rock,rock,True
7414,pop,jazz,False
6041,metal,metal,True
1218,electronic,electronic,True
8299,electronic,electronic,True
1488,rock,rock,True
2897,pop,electronic,False
2530,rock,rock,True
2917,pop,folk,False
1207,pop,country,False
2669,country,country,True
8595,pop,pop,True
1489,rock,rock,True
1960,electronic,electronic,True
8103,electronic,electronic,True
3986,metal,metal,True
3676,rock,rock,True
6656,rock,rock,True
1121,metal,metal,True
259,pop,pop,True
5785,pop,pop,True
603,country,folk,False
8922,electronic,electronic,True
7263,electronic,electronic,True
3369,electronic,electronic,True
3727,electronic,electronic,True
34,electronic,electronic,True
7012,rock,rock,True
7010,pop,pop,True
7638,rock,rock,True
7996,pop,country,False
2734,pop,electronic,False
5604,rock,pop,False
6409,electronic,electronic,True
5091,rock,rock,True
2123,pop,pop,True
63,electronic,electronic,True
4442,rock,jazz,False
5574,rock,rock,True
1164,rock,rock,True
3927,electronic,electronic,True
373,pop,pop,True
6837,rock,rock,True
2637,rock,rock,True
832,electronic,electronic,True
7902,electronic,electronic,True
1113,metal,metal,True
8189,rock,rock,True
1124,pop,pop,True
8051,rock,rock,True
2962,electronic,electronic,True
3338,metal,metal,True
8647,electronic,electronic,True
8833,hip-hop,hip-hop,True
3099,pop,rock,False
6667,electronic,electronic,True
3296,rock,metal,False
3696,country,country,True
708,metal,rock,False
2742,rock,rock,True
562,rock,rock,True
8649,electronic,electronic,True
4955,rock,rock,True
2709,electronic,electronic,True
8811,pop,folk,False
2883,electronic,electronic,True
3828,hip-hop,hip-hop,True
7477,pop,pop,True
8484,electronic,electronic,True
650,metal,metal,True
1738,pop,pop,True
